time,neighborhood,title,url,price,aid
1651144080.0,oakland,Dining Table and chairs,https://sfbay.craigslist.org/eby/fuo/d/oakland-dining-table-and-chairs/7477044057.html,200,0
1651143960.0,richmond,Ikea Queen bed slats Lonset Lexeby,https://sfbay.craigslist.org/eby/fuo/d/richmond-ikea-queen-bed-slats-lonset/7473818882.html,35,1
1651143960.0,"hayward,castro valley","West Elm Haven 2 Piece Terminal Chaise Sectional Sofa (Velvet, Grey)",https://sfbay.craigslist.org/eby/fuo/d/hayward-west-elm-haven-piece-terminal/7475308640.html,3000,2
1651143960.0,"hayward,castro valley",New in box West Elm Crescent Swivel Chair Twill Teal,https://sfbay.craigslist.org/eby/fuo/d/hayward-new-in-box-west-elm-crescent/7475304946.html,650,3
1651143960.0,"hayward,castro valley",West Elm Andes 3 Piece Sofa Sectional Mineral Grey,https://sfbay.craigslist.org/eby/fuo/d/hayward-west-elm-andes-piece-sofa/7475304864.html,3300,4
1651143960.0,"hayward,castro valley",(Set of 4) West Elm Windsor Dining Chair White,https://sfbay.craigslist.org/eby/fuo/d/hayward-set-of-west-elm-windsor-dining/7475304730.html,400,5
1651143960.0,"hayward,castro valley",West Elm Austin Leather Armchair + Ottoman,https://sfbay.craigslist.org/eby/fuo/d/hayward-west-elm-austin-leather/7475304789.html,2000,6
1651143960.0,"hayward,castro valley",West Elm Mid Century Show Wood High Back Leather Chair,https://sfbay.craigslist.org/eby/fuo/d/hayward-west-elm-mid-century-show-wood/7471823007.html,1200,7
1651143960.0,"hayward,castro valley",West Elm Anton Metal Plinth Dining Table,https://sfbay.craigslist.org/eby/fuo/d/hayward-west-elm-anton-metal-plinth/7472669887.html,1400,8
1651143960.0,"hayward,castro valley",West Elm Paidge Queen sleeper sofa (Retails for $2399),https://sfbay.craigslist.org/eby/fuo/d/hayward-west-elm-paidge-queen-sleeper/7472687187.html,1000,9
1651143960.0,"hayward,castro valley",(Set of 2) West Elm Col Court chair,https://sfbay.craigslist.org/eby/fuo/d/hayward-set-of-west-elm-col-court-chair/7472669750.html,900,10
1651143960.0,"hayward,castro valley",West Elm Andes Futon Gray ( Retails $2099),https://sfbay.craigslist.org/eby/fuo/d/hayward-west-elm-andes-futon-gray/7472687274.html,1650,11
1651143960.0,"hayward,castro valley",West Elm Mahogany Woven Rope Bench - Russet/Beige,https://sfbay.craigslist.org/eby/fuo/d/hayward-west-elm-mahogany-woven-rope/7472672287.html,550,12
1651143900.0,"hayward,castro valley",West elm Alexa media console reclaimed wood,https://sfbay.craigslist.org/eby/fuo/d/hayward-west-elm-alexa-media-console/7477042323.html,1100,13
1651143900.0,"hayward,castro valley","West Elm Hargrove Buffet / console (62"")",https://sfbay.craigslist.org/eby/fuo/d/hayward-west-elm-hargrove-buffet/7477042206.html,1200,14
1651143780.0,oakland,Hall Table,https://sfbay.craigslist.org/eby/fuo/d/oakland-hall-table/7477041254.html,100,15
1651143780.0,"dublin,pleasanton,livermore",Table for sale,https://sfbay.craigslist.org/eby/fuo/d/dublin-table-for-sale/7472004493.html,50,16
1651143780.0,"oakland piedmont,montclair","Solid oak round table 44""",https://sfbay.craigslist.org/eby/fuo/d/oakland-solid-oak-round-table-44/7477040966.html,600,17
1651143720.0,"concord,pleasant hill,martinez",Shabby Chic Farmhouse Potting Bench,https://sfbay.craigslist.org/eby/fuo/d/concord-shabby-chic-farmhouse-potting/7468788464.html,165,18
1651143660.0,oakland,Wine Rack,https://sfbay.craigslist.org/eby/fuo/d/oakland-wine-rack/7477040225.html,50,19
1651143660.0,"dublin,pleasanton,livermore",Tommy Bahama like sofa by Lane,https://sfbay.craigslist.org/eby/fuo/d/pleasanton-tommy-bahama-like-sofa-by/7477040040.html,195,20
1651143660.0,san leandro,Malone expandable dining set,https://sfbay.craigslist.org/eby/fuo/d/san-leandro-malone-expandable-dining-set/7477039986.html,575,21
1651143600.0,"oakland hills,mills",high quality adjustable  office chairs,https://sfbay.craigslist.org/eby/fuo/d/oakland-high-quality-adjustable-office/7467113791.html,25,22
1651143600.0,"oakland hills,mills",Nice .good quality. Outside chairs,https://sfbay.craigslist.org/eby/fuo/d/oakland-nice-good-quality-outside-chairs/7469084295.html,10,23
1651143540.0,"oakland hills,mills",Beautiful large glass top table set.,https://sfbay.craigslist.org/eby/fuo/d/oakland-beautiful-large-glass-top-table/7465838268.html,119,24
1651143540.0,"oakland hills,mills",Nice .good quality. Outside tables set,https://sfbay.craigslist.org/eby/fuo/d/oakland-nice-good-quality-outside/7472478997.html,125,25
1651143540.0,"oakland hills,mills",Two drawers file metal office cabinet,https://sfbay.craigslist.org/eby/fuo/d/oakland-two-drawers-file-metal-office/7476143259.html,30,26
1651143540.0,"dublin,pleasanton,livermore",Teeter LX9 Inversion Table,https://sfbay.craigslist.org/eby/fuo/d/dublin-teeter-lx9-inversion-table/7477038545.html,500,27
1651143480.0,"albany,el cerrito",Hbada Swivel Desk Chair,https://sfbay.craigslist.org/eby/fuo/d/el-cerrito-hbada-swivel-desk-chair/7470885032.html,40,28
1651143480.0,oakland,Black Leather Couch Light Use,https://sfbay.craigslist.org/eby/fuo/d/oakland-black-leather-couch-light-use/7477038346.html,200,29
1651143420.0,san leandro,Sonoma grey queen bed,https://sfbay.craigslist.org/eby/fuo/d/san-leandro-sonoma-grey-queen-bed/7477038184.html,300,30
1651143360.0,concord,Pottery Barn Slipcovered Ottoman in Twill White,https://sfbay.craigslist.org/eby/fuo/d/concord-pottery-barn-slipcovered/7477037729.html,200,31
1651143360.0,"concord,pleasant hill,martinez",Italian Brass and Glass Coffee Table,https://sfbay.craigslist.org/eby/fuo/d/pleasant-hill-italian-brass-and-glass/7471501477.html,245,32
1651143300.0,"concord,pleasant hill,martinez",Victorian Style Sofa Chair,https://sfbay.craigslist.org/eby/fuo/d/pleasant-hill-victorian-style-sofa-chair/7471029116.html,180,33
1651143300.0,"concord,pleasant hill,martinez",Vintage Asian Wooden hand carved chest / trunk,https://sfbay.craigslist.org/eby/fuo/d/concord-vintage-asian-wooden-hand/7469196718.html,150,34
1651143300.0,"danville,san ramon","Used Full Size Futon, Removable and Washable Cover, Good Condition.",https://sfbay.craigslist.org/eby/fuo/d/san-ramon-used-full-size-futon/7469164566.html,50,35
1651143300.0,concord,DXRacer Gaming Chair,https://sfbay.craigslist.org/eby/fuo/d/concord-dxracer-gaming-chair/7477037086.html,200,36
1651143300.0,alameda,Magazine Rack Shelf,https://sfbay.craigslist.org/eby/fuo/d/alameda-magazine-rack-shelf/7472790950.html,25,37
1651143300.0,san leandro,Queen platform bed with drawers,https://sfbay.craigslist.org/eby/fuo/d/san-leandro-queen-platform-bed-with/7477036818.html,400,38
1651143300.0,"fremont,union city,newark",Modern Desk with Built In File Cabinet Retail 300+,https://sfbay.craigslist.org/eby/fuo/d/newark-modern-desk-with-built-in-file/7477036743.html,100,39
1651143240.0,"fremont,union city,newark","Book shelves, TV, stereo, piano",https://sfbay.craigslist.org/eby/fuo/d/fremont-book-shelves-tv-stereo-piano/7475552373.html,1,40
1651143180.0,concord,DXRacer Gaming Chair,https://sfbay.craigslist.org/eby/fuo/d/concord-dxracer-gaming-chair/7477035926.html,100,41
1651143060.0,alameda,Foldable Boat Camping Seat - Made in USA,https://sfbay.craigslist.org/eby/fuo/d/alameda-foldable-boat-camping-seat-made/7468220985.html,30,42
1651143060.0,alameda,shelf board thick plywood painted wood board,https://sfbay.craigslist.org/eby/fuo/d/alameda-shelf-board-thick-plywood/7474104345.html,40,43
1651143060.0,alameda,Wood Arm-Chair Office Chair,https://sfbay.craigslist.org/eby/fuo/d/alameda-wood-arm-chair-office-chair/7474103910.html,40,44
1651143060.0,"oakland north,temescal",WOOD BLANKET OR TOWEL LADDER RACK,https://sfbay.craigslist.org/eby/fuo/d/oakland-wood-blanket-or-towel-ladder/7473218219.html,75,45
1651143060.0,oakland east,"foldable camping metal bed frame 73""x30""x15""",https://sfbay.craigslist.org/eby/fuo/d/oakland-foldable-camping-metal-bed/7472790584.html,35,46
1651143000.0,oakland east,Vintage Solid Wood Bar Stool with Solid Brass Decoration,https://sfbay.craigslist.org/eby/fuo/d/oakland-vintage-solid-wood-bar-stool/7477034324.html,50,47
1651142940.0,"concord,pleasant hill,martinez",Catalyst Chandelier,https://sfbay.craigslist.org/eby/fuo/d/pleasant-hill-catalyst-chandelier/7466954010.html,750,48
1651142880.0,berkeley,One (1) Adjustable/Reclining Mission/Craftsman-style armchair,https://sfbay.craigslist.org/eby/fuo/d/berkeley-one-adjustable-reclining/7466132165.html,180,49
1651142880.0,"hercules, pinole, san pablo, el sob",End Tables,https://sfbay.craigslist.org/eby/fuo/d/pinole-end-tables/7469670031.html,100,50
1651142820.0,berkeley,Secretary Desk/ Hutch,https://sfbay.craigslist.org/eby/fuo/d/berkeley-secretary-desk-hutch/7470287393.html,80,51
1651142820.0,berkeley,Mahogany Wood Rocking Armchair,https://sfbay.craigslist.org/eby/fuo/d/berkeley-mahogany-wood-rocking-armchair/7470494223.html,35,52
1651142760.0,"lafayette,orinda,moraga",Boho Style Entryway Bench With Storage,https://sfbay.craigslist.org/eby/fuo/d/moraga-boho-style-entryway-bench-with/7477032366.html,95,53
